year,province,cause,weather,deaths,seriousInjuries,minorInjuries,totalInjuries,latitude,longitude
2025,"แพร่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,18.14582756,100.1924251
2025,"ระยอง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,12.72764689,101.0142784
2025,"สุรินทร์","หลับใน","แจ่มใส",0,0,0,0,14.6229568,103.89752
2025,"ตาก","หลับใน","แจ่มใส",0,0,1,1,16.83515678,99.37884808
2025,"ราชบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,13.52424411,99.77163302
2025,"ปทุมธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,13.9642089,100.6052394
2025,"เชียงใหม่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,18.81514137,99.05443403
2025,"สิงห์บุรี","หลับใน","แจ่มใส",0,0,0,0,14.86335527,100.4407745
2025,"ร้อยเอ็ด","หลับใน","แจ่มใส",1,0,0,0,16.0925754,103.6797179
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,1,2,14.27330054,100.6837669
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,13.63689127,100.6322148
2025,"สุรินทร์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.93909975,103.7859243
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.87650059,99.96402567
2025,"พัทลุง","ใช้โทรศัพท์เคลื่อนที่ขณะขับรถ","แจ่มใส",0,0,1,1,7.73548,100.138395
2025,"เพชรบูรณ์","ไม่ให้สัญญาณชะลอ/เลี้ยว","แจ่มใส",0,0,3,3,16.76882914,101.0294098
2025,"กำแพงเพชร","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,0,0,16.10460047,99.34670253
2025,"เชียงใหม่","หลับใน","แจ่มใส",0,1,0,1,18.99940847,98.94541383
2025,"มหาสารคาม","หลับใน","แจ่มใส",0,0,1,1,15.80235,103.083802
2025,"ชลบุรี","เมาสุรา","แจ่มใส",0,1,0,1,13.434643,101.238825
2025,"ยโสธร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,15.79649824,104.2099347
2025,"พัทลุง","หลับใน","แจ่มใส",0,1,2,3,7.408357776,100.0864202
2025,"มุกดาหาร","หลับใน","แจ่มใส",1,2,3,5,16.83664614,104.535473
2025,"เพชรบูรณ์","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,16.75685475,101.018398
2025,"กระบี่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,8.084802061,98.88688937
2025,"อุดรธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,16.94594853,103.3937059
2025,"ภูเก็ต","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,7.980855195,98.36395849
2025,"ปทุมธานี","หลับใน","แจ่มใส",0,0,4,4,14.08065938,100.9038159
2025,"สมุทรสาคร","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,13.50841643,100.1328117
2025,"เชียงใหม่","เมาสุรา","แจ่มใส",1,0,0,0,18.92104143,98.9929238
2025,"ราชบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,13.56528985,99.77211719
2025,"สุรินทร์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,2,3,15.37719354,103.2632942
2025,"สระแก้ว","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,13.760409,102.023388
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.099944,101.440564
2025,"บึงกาฬ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,1,0,1,18.14631183,103.7408321
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,13.68034403,100.4715247
2025,"แม่ฮ่องสอน","เมาสุรา","แจ่มใส",0,0,1,1,19.42369797,97.97723964
2025,"ชุมพร","ยางเสื่อมสภาพ/ยางแตก","แจ่มใส",0,0,1,1,10.37304717,99.12676462
2025,"นครราชสีมา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.69806235,101.4746831
2025,"ภูเก็ต","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,7.957702101,98.38580176
2025,"อุทัยธานี","หลับใน","แจ่มใส",1,0,1,1,15.49554261,99.90530804
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.53170954,99.92795661
